PACKAGE_KEY,MOST_IDLE,MAX_WAIT,IDLE_COUNT,APPLICATION,LONGEST_WAIT,TIMEOUTS,LAST_ACCESS,MOST_ACTIVE,MAX_ACTIVE,MAX_IDLE,ACTIVE_COUNT,FACTOR_LOAD
1:SHARED,0,1,0,,0,0,2019-04-20T16:52:51.342,2,2,2,2,0.1
1:SHARED,2,1,0,,0,39,2019-04-20T16:53:01.360,2,2,2,2,2.05
1:SHARED,2,1,0,,0,72,2019-04-20T16:53:10.349,2,2,2,2,3.7
1:SHARED,2,1,0,,0,76,2019-04-20T16:53:21.875,2,2,2,2,3.9
1:SHARED,2,1,0,,0,114,2019-04-20T16:53:31.888,2,2,2,2,5.8
1:SHARED,2,1,0,,0,150,2019-04-20T16:53:41.899,2,2,2,2,7.6
1:SHARED,2,1,0,,0,186,2019-04-20T16:53:51.910,2,2,2,2,9.4
1:SHARED,2,1,0,,0,224,2019-04-20T16:54:01.920,2,2,2,2,11.3
1:SHARED,2,1,0,,0,260,2019-04-20T16:54:11.927,2,2,2,2,13.1
1:SHARED,2,1,0,,0,296,2019-04-20T16:54:21.935,2,2,2,2,14.9
1:SHARED,2,1,0,,0,334,2019-04-20T16:54:31.943,2,2,2,2,16.8
1:SHARED,2,1,0,,0,370,2019-04-20T16:54:41.949,2,2,2,2,18.6
1:SHARED,2,1,0,,0,406,2019-04-20T16:54:51.956,2,2,2,2,20.4
1:SHARED,2,1,0,,0,444,2019-04-20T16:55:01.963,2,2,2,2,22.3
1:SHARED,2,1,0,,0,480,2019-04-20T16:55:11.971,2,2,2,2,24.1
1:SHARED,2,1,0,,0,516,2019-04-20T16:55:21.978,2,2,2,2,25.9
1:SHARED,2,1,0,,0,554,2019-04-20T16:55:31.985,2,2,2,2,27.8
1:SHARED,2,1,0,,0,590,2019-04-20T16:55:41.992,2,2,2,2,29.6
1:SHARED,2,1,0,,0,626,2019-04-20T16:55:51.999,2,2,2,2,31.4
1:SHARED,2,1,0,,0,664,2019-04-20T16:56:02.005,2,2,2,2,33.3
1:SHARED,2,1,0,,0,700,2019-04-20T16:56:12.012,2,2,2,2,35.1
1:SHARED,2,1,0,,0,736,2019-04-20T16:56:22.019,2,2,2,2,36.9
1:SHARED,2,1,0,,0,774,2019-04-20T16:56:32.026,2,2,2,2,38.8
1:SHARED,2,1,0,,0,804,2019-04-20T16:56:39.768,2,2,2,2,40.3
1:SHARED,2,1,2,,0,804,2019-04-20T16:56:39.768,2,2,2,0,40.2
1:SHARED,2,1,2,,0,804,2019-04-20T16:56:39.768,2,2,2,0,40.2
1:SHARED,0,2,0,,0,0,2019-04-20T16:58:57.071,3,3,3,3,0.1
1:SHARED,0,2,0,,1,6,2019-04-20T16:59:03.048,3,3,3,3,0.3
1:SHARED,0,2,0,,1,12,2019-04-20T16:59:09.049,3,3,3,3,0.5
1:SHARED,0,2,0,,1,18,2019-04-20T16:59:15.050,3,3,3,3,0.7
1:SHARED,1,2,0,,1,25,2019-04-20T16:59:21.054,3,3,3,3,0.933333333333333
1:SHARED,1,2,0,,1,31,2019-04-20T16:59:27.054,3,3,3,3,1.13333333333333
1:SHARED,1,2,0,,1,37,2019-04-20T16:59:33.055,3,3,3,3,1.33333333333333
1:SHARED,1,2,0,,1,43,2019-04-20T16:59:39.056,3,3,3,3,1.53333333333333
1:SHARED,1,2,0,,1,49,2019-04-20T16:59:45.057,3,3,3,3,1.73333333333333
1:SHARED,1,2,0,,2,55,2019-04-20T16:59:51.058,3,3,3,3,1.93333333333333
1:SHARED,1,2,0,,2,61,2019-04-20T16:59:57.059,3,3,3,3,2.13333333333333
1:SHARED,1,2,0,,2,67,2019-04-20T17:00:03.060,3,3,3,3,2.33333333333333
1:SHARED,1,2,0,,2,73,2019-04-20T17:00:09.061,3,3,3,3,2.53333333333333
1:SHARED,1,2,0,,2,79,2019-04-20T17:00:15.062,3,3,3,3,2.73333333333333
1:SHARED,1,2,0,,2,85,2019-04-20T17:00:21.063,3,3,3,3,2.93333333333333
1:SHARED,1,2,0,,2,91,2019-04-20T17:00:27.063,3,3,3,3,3.13333333333333
1:SHARED,1,2,0,,2,97,2019-04-20T17:00:33.065,3,3,3,3,3.33333333333333
1:SHARED,1,2,0,,2,103,2019-04-20T17:00:39.066,3,3,3,3,3.53333333333333
1:SHARED,1,2,0,,2,109,2019-04-20T17:00:45.067,3,3,3,3,3.73333333333333
1:SHARED,1,2,0,,2,115,2019-04-20T17:00:51.067,3,3,3,3,3.93333333333333
1:SHARED,1,2,0,,2,121,2019-04-20T17:00:57.069,3,3,3,3,4.13333333333333
1:SHARED,1,2,0,,2,127,2019-04-20T17:01:03.069,3,3,3,3,4.33333333333333
1:SHARED,1,2,0,,2,133,2019-04-20T17:01:09.070,3,3,3,3,4.53333333333333
1:SHARED,1,2,0,,2,139,2019-04-20T17:01:15.071,3,3,3,3,4.73333333333333
1:SHARED,1,2,0,,2,145,2019-04-20T17:01:21.072,3,3,3,3,4.93333333333333
1:SHARED,1,2,0,,2,151,2019-04-20T17:01:27.073,3,3,3,3,5.13333333333333
1:SHARED,1,2,0,,2,157,2019-04-20T17:01:33.074,3,3,3,3,5.33333333333333
1:SHARED,1,2,0,,2,163,2019-04-20T17:01:39.075,3,3,3,3,5.53333333333333
1:SHARED,1,2,0,,2,170,2019-04-20T17:01:45.076,3,3,3,3,5.76666666666667
1:SHARED,1,2,0,,2,176,2019-04-20T17:01:51.077,3,3,3,3,5.96666666666667
1:SHARED,1,2,0,,2,182,2019-04-20T17:01:57.078,3,3,3,3,6.16666666666667
1:SHARED,1,2,0,,2,188,2019-04-20T17:02:03.079,3,3,3,3,6.36666666666667
1:SHARED,1,2,0,,2,194,2019-04-20T17:02:09.080,3,3,3,3,6.56666666666667
1:SHARED,1,2,0,,2,201,2019-04-20T17:02:15.081,3,3,3,3,6.8
1:SHARED,1,2,0,,2,207,2019-04-20T17:02:21.082,3,3,3,3,7
1:SHARED,1,2,0,,2,213,2019-04-20T17:02:27.083,3,3,3,3,7.2
1:SHARED,1,2,0,,2,220,2019-04-20T17:02:33.084,3,3,3,3,7.43333333333333
1:SHARED,1,2,0,,2,226,2019-04-20T17:02:39.085,3,3,3,3,7.63333333333333
1:SHARED,1,2,0,,2,232,2019-04-20T17:02:45.086,3,3,3,3,7.83333333333333
